"Študenti in dijaki štipendisti po: REGIJA ŠTIPENDITORJA, ŠTIPENDISTI,"
"VRSTA ŠTIPENDIJE, LETO , MERITVE"

" ";" ";" ";"2008";"2009";"2010";"2011"
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
"Jugovzhodna Slovenija"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";164;158;55;50
" ";" ";"Kadrovske štipendije sofinancirane posredno";60;70;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;2;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";104;86;55;50
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";244;144;70;1
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";260;238;152;115
" ";" ";"Kadrovske štipendije sofinancirane posredno";59;67;-;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;11;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";201;160;152;115
" ";" ";"Državne štipendije";-;-;-;-
" ";" ";"Zoisove štipendije";361;277;192;117
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;-
" ";" ";"Druge štipendije";-;-;-;-
"Osrednjeslovenska"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";886;933;823;1100
" ";" ";"Kadrovske štipendije sofinancirane posredno";26;31;-;477
" ";" ";"Kadrovske štipendije sofinancirane neposredno";223;290;262;152
" ";" ";"Kadrovske štipendije nesofinancirane";637;612;561;471
" ";" ";"Državne štipendije";21468;25206;26313;31136
" ";" ";"Zoisove štipendije";3165;4891;5451;6041
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";-;-;-;1
" ";" ";"Druge štipendije";118;23;19;36
" ";"Študentje"
" ";" ";"Kadrovske štipendije - Skupaj";1578;1645;1326;1775
" ";" ";"Kadrovske štipendije sofinancirane posredno";20;30;-;735
" ";" ";"Kadrovske štipendije sofinancirane neposredno";205;349;356;256
" ";" ";"Kadrovske štipendije nesofinancirane";1353;1266;970;784
" ";" ";"Državne štipendije";12532;14974;16212;20149
" ";" ";"Zoisove štipendije";3271;4541;4915;5234
" ";" ";"Štipendije za Slovence v zamejstvu in po svetu";92;130;144;170
" ";" ";"Druge štipendije";308;129;1174;262
"Gorenjska"
" ";"Dijaki"
" ";" ";"Kadrovske štipendije - Skupaj";329;200;661;117
" ";" ";"Kadrovske štipendije sofinancirane posredno";63;44;522;-
" ";" ";"Kadrovske štipendije sofinancirane neposredno";-;4;-;-
" ";" ";"Kadrovske štipendije nesofinancirane";266;152;139;117
